fiscalYear,taxes,totalRevenue,pct
1993,26838988,178900000,15
1994,30052587,200300000,15
1995,31347982,209000000,15
1996,32198923,214600000,15
1997,33808556,225300000,15
1998,36675962,244500000,15
1999,38024908,253500000,15
2000,40572213,270500000,15
2001,41574923,275870000,15
2002,43705113,290300000,15
2004,50065531,333827800,15
2005,53371793,334495456,16
2006,56912391,378827999,15
2007,60760922,405072813,15
2008,63424368,422829120,15
2009,62065664,413771093,15
2010,52388933,349259553,15
2011,49433921,329559473,15
2012,53732792,358218613,15
2013,57049479,380329860,15
2014,56940050,379607573,15
2015,59734065,398863520,15
2016,60392104,403212940,15
2017,59819040,399588646,15
2018,60153873,402120393,15
2019,62993675,419957833,15
2020,57331699,382211327,15
2021,74912278,499415187,15
2022,78056772,520378480,15
